008/028,CAJA EMPAQUE PIRMA HUEVERA 12 PARES 60.0 x 30.0 x 33.0 23 ECT. CON DIVISIONES.,22.99
008/029,CAJA EMPAQUE PIRMA  6 PARES 33.0 x 27.0 x 33.5 23 ECT. CON DIVISIONES,14.5
008/030,CAJA EMPAQUE JEAN PET 12 PRS RONY 65.0 x 43.5 x 32.7  23 ECT,22.48
008/031,CAJA EMP. JEAN PET 12 PARES SUPER SONICA 65.5 x 51.5 x 32.5  23 ECT,30.1
008/032,CAJA EMPAQUE JEAN PET 18 PARES RONY 67.0 x 66.5 x 32.7,41.81
008/033,CAJA EMPAQUE JEAN PET 18 PARES SUPER SONICA 76.5 x 67.5 x 32.5  23 ECT,43.05
008/034,CAJA 12 PARES RONY JR. EMPAQUE JOZA  61.0 x 41.0 x 29.5   23 ECT,22.64
008/035,CAJA 18 PARES RONY JR. EMPAQUE JOZA  63.0 x 61.5 x 29.5   23 ECT,35.35
008/036,CAJA EMPAQUE CELO 9 PARES  52.0 x 49.0 x 33.0  42 ECT D/C,42.48
008/037,CAJA ANDARGO 12 PRS. SUPER SONICA 65.5 x 51.5 x 32.5  23ECT,30.79
008/038,CAJA ANDARGO 18 PRS. SUPER SONICA 76.5 x 67.5 x 32.5  23 ECT,43.05
008/039,CAJA EMPAQUE ESPECIAL GUGER ITALIA 73.5 x 60.4 x 70.0  23 ECT,56.42
008/040,CAJA EMPAQUE ESPECIAL GUGER BOTIN 73.5 x 64.0 x 65.0  23 ECT,57.29
008/041,CAJA EMPAQUE ESPECIAL GUGER CHANCLETA  61.5 x 40.0 x 59.0   23 ECT,32.78
008/042,CAJA EMPAQUE TINAJERO 55  55.0 x 39.0 x 39.0  42 ECT D/C,40.57
008/044,CAJA EMP. ESP. ZEROX RONY 18 PRS 69.0 x 67.0 x 32.0,43.34
008/045,CAJA EMP. ESP. ZEROX RONY 12 PRS 67.0 x 46.0 x 32.0,32.25
008/046,CAJA EMP. BACK BLACK BOTIN 12 PRS 68.8 x 61.5 x 32.5,36.93
008/047,CAJA EMP. 1 MANUF CALZ MEX 58.0 x 35.0 x 29.0,20.8
008/048,CAJA EMP. ESP. MULLER 120.0 x 30.0 x 15.0 42 ECT D/C,38.01
008/049,CAJA EMP. BEEK 9 PRS. 85.0 x 37.0 x 31.5  42 ECT D/C,45.11
008/050,CAJA COLECTIVA 12 PRS. RONY ANDALE 44.0 x 33.5 x 64.3 23 ECT,24.38
008/051,CAJA EMP. ESP. 3 MANUF. CALZ. MEX. 35.5 x 29.0 x 24.5,12.05
008/052,CAJA EMP. ESP. MULLER  75.0 x 27.0 x 30 23 ECT C/S,19.53
008/053,CAJA PARA BOLSO DIONE T/SEP EMPALMADA IMPRESION 1 TINTA,37.88
008/054,CAJA EMPAQUES CARICIAS 18 PRS 61.0 x 46.30 x 30.0,25.55
008/055,CAJA P/BOTA STEVE MADDEN 12 PRS (2x6)  42 ECT D/C.,95.07
008/056,CAJA 6 PRS. BOTA LARGA STEVE MADDEN 69.0 x 65.0 x 55.5  42 ECT D/C.,59.26
008/057,CAJA 9 PRS BOTA LARGA STEVE MAD 42 ECT D/C,76.55
008/058,CAJA 12 PRS BOTA LARGA STEVE MADDEN 42 ECT D/C.,102.58
008/059,CAJA EMPAQUE ESPECIAL MELHER 50.0 x 19.0 x 29.0 23 ECT,11.64
008/060,CAJA EMP. ESP. 8 PRS. MANUF. CALZ MEX 35.5 x 29.0 x 25.5,12.72
008/061,CAJA 12 PRS. No 3 STEVE MADDEN 69.0 x 53.5 x 32.0 32 ECT,51.46
008/062,CAJA EMPAQUE ESPECIAL CARICIAS 6 PRS. 31.0 x 30.5 x 29.3   23 ECT,14.17
008/063,CAJA EMPAQUE ESPECIAL CARICIAS 30 PRS. 76.5 x 61.5 x 29.3  23 ECT,44.7
008/064,CAJA EMPAQUE ESPECIAL CARICIAS 24 PRS. 62.0 x 61.0 x 30.0  23 ECT,39.67
008/065,CAJA LEAVE & CO ESPECIAL 49.5 x 38.5 x 32.2  23 ECT.,40.85
008/066,CAJA EMPAQUE ESPECIAL #3 MANUF 56.0 x 52.2 x 31.0  23 ECT.,31.94
008/067,CAJA EMP. ESP. 10 PARES CHANCLETA FORRADA 51.5 x 27.0 x 29.5  23 ECT.,15.91
008/068,CAJA EMP. ESP. 6 PRS. 33.0 x 27.0 x 26.5 42 ECT. D/C.,18.16
008/069,CAJA EMP. ESP. 12 PRS. 33.0 X 27.5 X 55.5  42 ECT. D/C.,30.6
008/070,CAJA EMP. ESP. 12 PARES CHANCLETA CARIBE,18.37
008/071,CAJA EMP. ESP. MANUF #4 63.0 x 56.0 x 30.0  23 ECT.,37.76
008/072,CAJA B17/1 PAR OBM 21.5 x 11.5 x 34.8  32 ECT AMERICANO IMPRESION 1 TINTA.,9.65
008/073,CAJA B17/2 PARES OBM 23.0 x 21.5 x 34.8  32 ECT. AMERICANO IMPRESION 1 TINTA.,17.13
008/074,CAJA B17/3 PARES OBM  34.5 x21.5 x 34.8  32 ECT. AMERICANO  IMPRESION 1 TINTA.,20.87
008/075,CAJA B17/4 PARES OBM 46.0 x 21.5 x 34.8  32 ECT. AMERICANO IMPRESION 1 TINTA.,24.62
008/076,CAJA B17/5 PARES OBM 57.2 x 21.5 x 34.8  32 ECT. AMERICANO IMPRESION 1 TINTA.,28.24
008/077,CAJA B17/6 PARES OBM 42.5 x 34.5 x 34.8 32 ECT. AMERICANO  IMPRESION 1 TINTA.,33.51
008/078,CAJA B17/8 PARES OBM 46.0 x 42.5 x 34.8 32 ECT. AMERICANO  IMPRESION 1 TINTA.,42.16
008/079,CAJA B17/9 PARES OBJ 63.5 x 34.5 x 34.8 32 ECT. AMERICANO  IMPRESION 1 TINTA.,41.84
008/080,CAJA EMP. WOLKY BOTIN 1 PAR 29.5 x 12.5 x 34.2  32 ECT. NACIONAL.,9.15
008/081,CAJA EMP. ESP. CARIBE 12 PARES CHANCLETA,18.38
008/082,CAJA EMP. ESP. CARIBE 6 PARES CHANCLETA 66.0 x 14.0 x 29.0 23 ECT.,22.09
008/083,CAJA EMP. 12 ESP. MANUF.  45.0 x 35.0 x 24.5  23 ECT.,16.8
008/084,CAJA 6 PARES SD 33.0 x 27.5 x 26.5  S/G IMPRESION 1 TINTA.,5.93
008/085,CAJA 12 PARES SD 33.0 x 27.5 x 55.5  21 ECT. IMPRESION 1 TINTA.,8.85
008/086,CAJA 18 PARES SD 49.0 x 27.0 x 55.5  21 ECT IMPRESION 1 TINTA.,11.07
008/087,CAJA 24 PARES SD 49.5 x 36.0 x 55.5  21 ECT. IMPRESION 1 TINTA.,13.99
008/088,CAJA EMP. 10 PARES BOTIN #2 FORRADA,26.64
008/089,CAJA EMP. 10 PARES JOVEN SPL FORRADA,21.13
008/090,CAJA EMP. ESP. CABALLERO,6.18
008/091,CAJA EMP. ESP. 1 PAR ONLINE,6.01
008/092,CAJA EMP. ESP. MULLER  31.0 x 25.0 x 17.0 42 ECT. D/C,15.61
008/093,CAJA EMP. ESP. ANDALE 3 PARES,4.48
008/094,CAJA EMP. ESP. ONLINE 2 UN PAR,7.26
008/095,CAJA EMP. ESP. 36 PARES SD 53.5 x 48.9 x 55.0 42 ECT. D/C,63.68
